wall_time,elapsed_sec,nodes,edges,edges_per_sec_window,max_out_degree,max_in_degree
1762621035.146037,20.707814931869507,64,67,9.6,23,2
1762621035.148808,20.710585832595825,64,68,9.8,23,2
1762621035.156065,20.71784281730652,65,69,10.0,23,2
1762621035.162103,20.723880767822266,65,70,10.2,23,2
1762621035.1688051,20.73058295249939,66,71,10.4,24,2
1762621035.175348,20.737125873565674,67,72,10.6,25,2
1762621035.1833851,20.745162963867188,68,73,10.8,26,2
1762621035.1872928,20.749070644378662,69,74,11.0,27,2
1762621035.193114,20.754891872406006,70,75,11.2,28,2
1762621035.199646,20.76142382621765,71,76,11.4,29,2
1762621035.205408,20.767185926437378,72,77,11.6,30,2
1762621035.212032,20.773809909820557,72,78,11.8,31,2
1762621035.217626,20.779403924942017,73,79,12.0,32,2
1762621035.2240572,20.785835027694702,74,80,12.2,33,2
1762621035.2302651,20.79204297065735,75,81,12.4,34,2
1762621035.2375271,20.799304962158203,75,82,12.6,35,2
1762621035.2479732,20.80975103378296,76,83,12.8,36,2
1762621035.25004,20.81181788444519,76,84,13.0,37,2
1762621035.257372,20.81914973258972,77,85,13.2,38,2
1762621035.2635362,20.825314044952393,78,86,13.4,39,2
1762621035.267809,20.82958674430847,79,87,13.6,40,2
1762621035.275017,20.83679485321045,80,88,13.8,41,2
1762621035.280993,20.84277081489563,81,89,14.0,42,2
1762621035.287107,20.84888482093811,82,90,14.2,43,2
1762621035.29422,20.855997800827026,83,91,14.4,44,2
1762621035.3005068,20.862284660339355,83,92,14.6,45,2
1762621035.3071098,20.868887662887573,83,93,14.8,46,2
1762621035.312609,20.87438678741455,84,94,15.0,47,2
1762621035.320318,20.88209581375122,85,95,15.2,48,2
1762621035.324854,20.886631727218628,86,96,15.4,49,2
1762621035.3310819,20.89285969734192,87,97,15.6,50,2
1762621035.337377,20.899154901504517,87,98,15.8,51,2
1762621035.343982,20.905759811401367,88,99,16.0,52,2
1762621035.353614,20.91539192199707,89,100,16.2,53,2
1762621035.356964,20.918741941452026,90,101,16.4,54,2
1762621035.363137,20.924914836883545,91,102,16.6,55,2
1762621035.369181,20.93095874786377,92,103,16.8,56,2
1762621035.3757088,20.93748664855957,93,104,17.0,57,2
1762621035.3855832,20.94736099243164,94,105,17.2,58,2
1762621035.38857,20.950347900390625,95,106,17.4,59,2
1762621035.393719,20.955496788024902,96,107,17.6,60,2
